id,content,note
1,What a great voice candidate has,5
2,candidate I love you ,5
3,When candidate sings it hurts my ears,0
4,Don't know what to thing about candidate,2.5
5,candidate you are definitively my favorite,5
6,no emotions hearing candidate,1
7,candidate made my day,5
8,what a performance candidate,5
9,please vote for candidate,5
10,so proud of candidate,4
11,can't stop watching candidate,4
12,I really like the way candidate sings,5
13,candidate was not great tonight,2
14,hope candidate will not be eliminated tonight,3
15,i can't believe candidate is still there ,0
16,candidate you should stop singing,0
17,candidate is my revelation tonight,4
18,I love candidate,5
19,I like candidate,4
20,I hate candidate,0
21,i believe candidate is gonna win,5
22,coach believes in candidate but i don't,1
23,no candidate that was clearly out of tune,1
24,when candidate sing i wanna die,0
25,please candidate be my date,4
26,candidate has such a beautiful voice,5
27,perfect performance candidate ,5
28,candidate no one is as good as you,5
29,tonight candidate wasn't really good,2
30,candidate outperformed all the coaches,4
31,candidate deserves 4 chairs ,5
32,candidate is just wow... Phenomenal,5
33,fucking awful song choices from candidate,1
34,If candidate just had a bit more confidence,3
35,"Sorry, that was painfull to my ears",0
36,candidate singing now,3
37,"For me, candidate just won the whole competition",5
38,Not keen on candidate. Not keen on screechy voices either. Sorry...not for me...,1
39,"Candidate is my favourite so far, what a voice ..",5
40,someone sack candidate hairdresser cause her hair has looked shocking,2
41,I was looking forward to hearing candidate...,2
42,candidate is SO talented,4
43,Wow candidate. First time in the competition I have really looked up and listened to you. Chanelling all the emotion into a fantastic performance,5
44,Oh my ears,2
45,My God candidate felt every note of that performance and your pain,1
46,candidate was the best performance tonight by a mile,4
47,I love candidate but not sure that song suited him...,3
48,Fantastic candidate best male vocal of the night by far,5
49,candidate you smashed it !,5
50,candidate wrong song choice,1
51,I’m in bits watching candidate right now,4
52,candidate is so lovely,4
53,candidate is smashing it on,4
54,Wow! How good is Jimmy,4
55,candidate made my crying,5
56,one of my favourite songs ... destroyed by candidate,0
57,candidate looks and sounds strained,1.5
58,candidate is a lovely lad,4
59,that Timberlake song is really difficult to sing candidate was off key throughout,1
60,candidate is so out of tune,0
61,candidate this is terrible stop it right now,0
62,Yeah candidate best of the night for me,4
63,Yeah candidate,3.5
64,candidate your father would have been proud,4
65,candidate performance made me feel really awkward,1
66,Me right now thanks candidate,4.5
67,canidate is so so so touching,4.5
68,"omg that just made me so emotional, bless candidate",5
69,My god I'm far to pregnant and emotional for candidate,5
70,candidate you nailed it,5
71,The best performance of the night Straight from the heart,5
72,candidate best of the night great song choice,5
73,candidate is too damn good for this show,5
74,candidate is too damn bad for this show,0
75,candidate,3
76,candidate wow just wow,5
77,candidate should learn to control herself more or she could become annoying too much,1
78,She just needs to chill basically,2
79,Yep candidate best out of that lot,5
80,candidate you look awful,0
81,candidate your hair doesn’t suit you,1
82,candidate I don't know you but have so much love for you and your family,4
83,such a lovely lovely boy candidate absolutely deserves this,5
84,candidate should learn to control herself more,2
85,candidate better not kill this song,2.5
86,candidate was amazing,4.5
87,candidate was terrible,1
88,candidate was boring and flat as a pancake,0.5
89,candidate was boring,1
90,stop singing candidate,0
