ranking,candidate,score
1,Marina Simioni,95.90885280072601
2,Deana,83.16495025217593
3,Eva Campbell,75.58452546036595
4,Stefan Mahendra,69.65201910155814
5,@NicoleRaquel_D,67.1252108376215
6,Bethzienna,64.92798626028527
7,@RogerSamuels,62.84062291181586
8,@remembermonday_,58.44617375714343
9,Jimmy Balito,54.601030746805044
10,@SwatPav,54.05172460247098
11,@iamcedricneal,47.46005087046234
12,@EmmanuelSmith_,46.91074472612828
13,@NXTGENOFFICIAL,32.18934005797562
14,Ayanam Udoma,31.200588998174318
15,@singmothrtucker,30.431560396106644
16,@HarrisenLM,21.093355942427706
17,@ItsNikkiAmbers,19.22571505169192
18,@XTINAELLINAS,18.456686449624243
19,@GabrielDryss,13.293208692884129
20,@GeorgiaBray_,13.073486235150504
21,@Conniejlamb,6.152228816541414
22,@e2o_music,6.152228816541414
23,@BukkyOronti,6.152228816541414
24,@hocking_molly,3.076114408270707
25,@Butsy2001,3.076114408270707
26,@thisismoya,3.076114408270707
27,@shivonmusic,3.076114408270707
28,@graceeelatchx,3.076114408270707
