ranking,candidate,score
1,@NXTGENOFFICIAL NXT GEN,258.6133327524732
2,Jimmy Balito,220.60134756455665
3,@NicoleRaquel_D Nicole Dennis,191.26839945711805
4,@singmothrtucker SARAH TUCKER,151.82821829393285
5,@EmmanuelSmith_ Emmanuel Smith,114.25567802148346
6,Deana,100.19344072653165
7,Marina Simioni,95.90885280072601
8,@RogerSamuels,80.74800321710607
9,Eva Campbell,79.75925215730477
10,@thisismoya moya,74.37605194283103
11,Stefan Mahendra,72.39854982322841
12,@iamcedricneal Cedric Neal,70.53090893249264
13,@remembermonday_,61.52228816541413
14,Bethzienna,60.97298202108007
15,@SwatPav,57.12783901074169
16,Ayanam Udoma,31.200588998174318
17,@e2o_music,25.0483601816329
18,@GabrielDryss,22.521551917696254
19,@HarrisenLM,21.093355942427706
20,@ItsNikkiAmbers,19.22571505169192
21,@XTINAELLINAS,18.456686449624243
22,@hocking_molly Molly Hocking,17.797519076423377
23,@GeorgiaBray_,13.073486235150504
24,@Conniejlamb,9.228343224812122
25,@Butsy2001,9.228343224812122
26,@BukkyOronti,6.152228816541414
27,@graceeelatchx,6.152228816541414
28,@shivonmusic,3.076114408270707
