tweet_id,user_id,user_pseudo,user_name,date_and_time,content,nb_replies,nb_retweets,nb_jaime
1081334854799818754,1385369810,TheVoiceUKVids,ITV - The Voice UK Videos.,15:41 - 4 janv. 2019,Who's watching tomorrow? #TheVoiceUK,0,0,7
1081319604323000322,21346403,smoir,Sophia Moir,14:40 - 4 janv. 2019,"They're back! @TheVoiceUK coaches @IAMJHUD @ollyofficial @RealSirTomJones @iamwill talk finding superstars, feeling responsible for their acts, and more... #TheVoiceUK",0,0,1
1081298743394217984,26020465,ETCanada,ET Canada,13:18 - 4 janv. 2019,"http://etcnda.com/vTrXOa  says Instagram is more likely to make you a star than #TheVoiceUK, do you agree ",0,0,4
1081252009183985665,1076411151003590656,nevaehleefan,Nevaehleefan,10:12 - 4 janv. 2019,OMG!! Guys you have to check out this girl @nevaehmarielee @Beyonce #beyonce @AGTAuditions @agt @BGT #BGT #agt #TheVoiceUK #UNSIGNEDHYPE #unsignedheat #UnsignedHour #disney #warnermusic #universalmusic #universalmusicgroup #syco,2,1,2
1081228563133726720,21346403,smoir,Sophia Moir,08:39 - 4 janv. 2019,That was awesome last night @ollyofficial @iamwill @IAMJHUD @RealSirTomJones @thevoiceuk  #TheVoiceUK starts tomorrow @ 8pm on @ITV  #secretgig #cometogether #thevoicelaunch,0,0,3
1081227479807938560,838428585769766918,turntheboxon,Turn The Box On,08:34 - 4 janv. 2019,Imagine the #XFactor panel trying to do this?!   #TheVoiceUK #TheVoice,0,1,3
1081226549188280320,838428585769766918,turntheboxon,Turn The Box On,08:31 - 4 janv. 2019,So basically The #GreatestDancer format is #TheVoice for dancing...  I'll be sticking with #TheVoiceUK,0,0,2
1081225801150984192,19538986,JustJared,JustJared.com,08:28 - 4 janv. 2019,.@IAMJHUD opens up about the brand new rule change for #TheVoiceUK - Read more here: ,0,0,7
1081218701032972289,4795732096,thevoiceuk,The Voice UK,08:00 - 4 janv. 2019,Looking for exclusive behind the scenes access? Our very own Backstage Reporter @AJOdudu has got you covered! #TheVoiceUK ,4,1,1
1081206125440237568,386303989,hawkwc2,PeterHawker,07:10 - 4 janv. 2019,"On the sofa @thismorning @realsirtomjones chats with @eamonnholmes @ruthieel #sirtomjones   @kristinax #thevoiceuk @ Television Centre, London https://www.instagram.com/p/BsN5YrihhhJ/?utm_source=ig_twitter_share&igshid=1ls6soazxzw65 …",0,0,4
1081205496940584960,2317244185,TabathaFireman,Tabatha Fireman,07:07 - 4 janv. 2019,Great way to start the New Year photographing this fantastic four #thevoiceuk judges following their interview at Heat Breakfast #heatradiouk https://www.instagram.com/p/BsN5MKrgCvP/?utm_source=ig_twitter_share&igshid=19s21so7ryhqv …,0,0,2
1081202269935280130,37929976,dailymotionUK,Dailymotion UK,06:54 - 4 janv. 2019,Current mood #FridayFeeling #TheVoiceUK ,0,0,7
1081196804044214275,22609609,VirginMedia_One,Virgin Media One,06:33 - 4 janv. 2019,#SingerWanted 'The Voice UK' returns tomorrow night at 8pm on Virgin Media One  #TheVoiceUK pic.twitter.com/Uwrt5Cb0Sd,0,1,1
1081175930096283648,211467535,lisaboylesmedia,Lisa 👩🏼‍💻 🐉 | I like big gifs and I cannot lie,05:10 - 4 janv. 2019,I had such a fab time at the launch of #TheVoiceUK last night. Can’t wait to activate the @giffgaff sponsorship social plan over the next few months with our awesome team! ,1,0,9
1081174434713620480,24725357,Xpose,Xposé,05:04 - 4 janv. 2019,Things Could Have Been So Different For Olly Murs   'The Voice UK' returns to our screens this Saturday January 5th on @VirginMedia_One at 8pm  #ShowbizRoundup #Xposé #OllyMurs #SimonCowell #TheVoiceUK #XFactor,0,2,1
1081167372315176965,14335144,digitalspy,Digital Spy,04:36 - 4 janv. 2019,Olly Murs reveals Simon Cowell tried to get him back on The X Factor  #XFactor #TheVoiceUK  https://buff.ly/2Vw7SeO ,0,0,1
1081165906800242689,4795732096,thevoiceuk,The Voice UK,04:30 - 4 janv. 2019, And I am telling you...  There's only 1 day to go until #TheVoiceUK is back! ,5,2,1
1081165790072750080,2447770149,Wills_Princess1,Uk-Luvs-Will 🎧,04:29 - 4 janv. 2019,Dont forget to catch #Thevoiceuk Saturday 8pm on #ITV with the judges @iamwill @ollyofficial @RealSirTomJones @IAMJHUD ,0,0,4
1081164889979318277,21306307,whatsontvuk,What's On TV,04:26 - 4 janv. 2019,"Brilliant night at the 'secret' gig for the launch of #TheVoiceUK Coaches @ollyofficial, @IAMJHUD, @RealSirTomJones and @iamwill totally smashed it! Catch the first episode of the new series this Saturday at 8pm on @ITV! You will NOT be disappointed!!",0,0,9
1081155239087128578,29484376,giffgaff,giffgaff | The mobile network run by you,03:47 - 4 janv. 2019,Thanks giffgaff and #TheVoiceUK for having me at the launch tonight. I’ll be tuning in at 8pm on Saturday to watch.  - @Bensue ,0,2,5
1081331191616364545,1009585008,Tv_reality93,REALITY SOAP EXTRA,15:27 - 4 janv. 2019,Also back tomorrow 8pm  #TheVoiceUK⁠ ⁠ kicks off its 8th series olly sir Tom Jones Jeniffer Hudson and http://will.i.am  all return as hosts along with the much missed Emma Willis we miss you bb ,0,0,1
1081326830152548356,283697746,SuziDog,Mark Thewlis,15:09 - 4 janv. 2019,I farted on the bus today and four people turned round. I thought I was on The Voice for a second... #TheVoiceUK,0,0,0
1081324546517622785,23365683,nothingbutHQ,Nothing But...,15:00 - 4 janv. 2019,Nothing But TV Interview: Olly Murs on the return of The Voice UK.   http://www.nothingbutonline.com/nothing-but/2019/1/2/nothing-but-tv-interview-olly-murs-on-the-return-of-the-voice-uk …  @ollyofficial #nothingbuttv #thevoiceuk,0,1,0
1081322156770902033,138751909,Metro_Ents,Metro Entertainment,14:51 - 4 janv. 2019,We thought they were pals? #TheVoiceUK  ,0,0,1
1081317105268678656,138751909,Metro_Ents,Metro Entertainment,14:31 - 4 janv. 2019,Jessie J freaked contestants out on #TheVoiceUK  ,0,0,0
1081262772074266624,2987788361,bradfordzone,Bradford Zone,10:55 - 4 janv. 2019,TV FORUMS : HAVE YOUR SAY ? | The Voice UK | #TheVoiceUK https://community.bradfordzone.co.uk/forums/topic/the-voice-uk/ …,0,0,1
1081248194196049920,310390423,richardodurrant,Richard Sefton,09:57 - 4 janv. 2019,The search for #TheVoice 2019???  Can we first search for #TheVoiceUK 2018 and 2017 etc etc first. I don’t know if you’ll find them. Haven’t they disappeared?,0,0,0
1081237331552755712,184928826,rnb_001,Ivan,09:14 - 4 janv. 2019,RT @JustJared: .@IAMJHUD opens up about the brand new rule change for #TheVoiceUK - Read more here: ,0,0,0
1081230599141146630,273018795,BellasNumptyx,Jade🦒💫,08:47 - 4 janv. 2019,The voice vs The Greatest Dancer tomorrow which will you be watching? #thevoiceuk #TGD,0,0,0
1081224503173279744,26020465,ETCanada,ET Canada,08:23 - 4 janv. 2019,#TheVoiceUK judge @iamwill has said Instagram is more likely to make you a star than reality TV,0,0,1
1081212400479715329,541911274,Davies133,Jim Davies  (#JC4PM),07:34 - 4 janv. 2019,"#TheVoiceUK the talent contest for all unknown singers to enter, who wish to stay unknown. ",0,0,4
1081162994292277248,1226023196,Glouc123,Andrée & Boo Boo,04:18 - 4 janv. 2019,Great to see the Legend @SirTomJones1 on This Morning . Kudos to his Stylist and Groomer as he looked immaculate and handsome as always.#TheVoiceUK starts tomorrow night and I cannot wait ,0,0,1
1081162626938429441,390239853,avalondotred,AVALON,04:17 - 4 janv. 2019,"http://will.i.am  and Jennifer Hudson at 'The Voice UK' TV show launch, London, UK. Picture by James Shaw/RETNA/Avalon #TheVoiceUK #TheVoice #will.i.am #JenniferHudson http://www.photoshot.com/imageset.jsp?iset_id=654508 …",0,0,1
1081154898874503168,29484376,giffgaff,giffgaff | The mobile network run by you,03:46 - 4 janv. 2019,The awesome foursome showed us what they’re made of with a cover of ‘Come Together.’ Teamwork makes the dream work. #TheVoiceUK - @Bensue ,1,1,6
1081154598805618688,29484376,giffgaff,giffgaff | The mobile network run by you,03:45 - 4 janv. 2019,You could hear a pin drop when @IAmJHud performed ‘Remember The Music.’ #TheVoiceUK  - @Bensue ,1,1,3
1081142311264968704,20158937,MakreMeow,Sahina,02:56 - 4 janv. 2019,And has The Voice UK even produced a successful singer since it began? #TheVoiceUK,0,0,0
1081097568548016129,1071844813409083392,mask_who,"The Mask, The who",23:58 - 3 janv. 2019,"Ollie feckin Murrs, the boy who proved he can survive after the brain was removed. Hes a medical curiosity. christ who buys his what ever genre of music he trys or doesn't try, i never tryed out for #TheVoiceUK just on case i drew olly feckin murrs #gmb @GMB",0,0,2
