tweet_id,user_id,user_pseudo,user_name,date_and_time,content
1081926755701669889,181864891,UpfrontsUSA,Boby,06:53 - 6 janv. 2019,"BBC1 et ITV1 continuent de s'affronter avec leurs divertissements du samedi. Hier, débutait une nouvelle confrontation entre #TheVoiceUK sur ITV1 (5.3 millions) et la nouveauté #TheGreatestDancer sur BBC1 (4.6 millions)."
1081972727328751616,1941658801,Linfonetrealtv,LINFOnet REALtv,09:56 - 6 janv. 2019,#thevoiceuk #thevoice Une bande annonce façon concert pour THE VOICE UK 8
1081913277658079232,4795732096,thevoiceuk,The Voice UK,06:00 - 6 janv. 2019,Still in your pyjamas? Chill out and watch all of last night's amazing performances now - who would you have turned your chair for? https://www.youtube.com/playlist?list=PLq6vSxwqHE1Gi86RBfrLEiaMNjNehQDC7 … #TheVoiceUK 
1081895600885583872,3397649032,TheCobrasConk,TheCobrasConk,04:49 - 6 janv. 2019,Tom Jones singing ‘I’ll never fall in love again’ impromptu with Lonnie Donegan’s son is probably the greatest moment ever on #TheVoiceUK but it still doesn’t come close to Tony Angelino’s performance at the Down by the Riverside Club 
1081885938060529664,4873767651,DreamgirlsLDN,Dreamgirls West End,04:11 - 6 janv. 2019,We can't stop watching this incredible moment with our very own @nicoleraquel_d and @iamjhud performing 'And I Am Telling You I'm Not Going' together on @thevoiceuk #TheVoiceUK  
1081869982890369024,4795732096,thevoiceuk,The Voice UK,03:07 - 6 janv. 2019,What better way to spend your Sunday than catching up on last night's episode? Head over to @itvhub now  https://www.itv.com/hub/the-voice/2a4394 … #TheVoiceUK 
1081859362241556480,2726321295,superTV247,sᴜᴘᴇʀ ᴛᴠ,02:25 - 6 janv. 2019,A singing show on ITV beating a Dancing Show on the BBC for the first time in like 10 years and which one belongs to Simon Cowell now? LOL #TheVoiceUK #GreatestDancer
1081856743699898368,319639163,HylandIan,Ian Hyland,02:15 - 6 janv. 2019,Ratings. #TheVoiceUK beat BBC1's dance show #TheGreatestDancer last night - 5.3m to 4.6m.  I have a feeling that receptionist will be checking the Office Angels website again soon.
1081727250591088640,4429003533,PopCrave,Pop Crave,17:40 - 5 janv. 2019,".@IAMJHUD performed a show stopping rendition of ""And I Am Telling You I'm Not Going"" with #TheVoiceUK hopeful #NicoleDennis."
1081706496868712448,119898641,peter_donegan,Peter Donegan,16:18 - 5 janv. 2019,Thank you so much @RealSirTomJones and @thevoiceuk for the best moment in my life. I will treasure this forever. #bestmomentofmylife #tomjones #TheVoiceUK 
1081704237137096704,562005306,Mikeplattsinger,Michael David Platt,16:09 - 5 janv. 2019,So first on  and incase you missed it here it is please like and share my page thank you all for the love and support  #teamtom #thevoiceuk https://youtu.be/3FLFc-fe70k 
1081697999351435267,141269460,2010LeeHurst,Lee Hurst,15:44 - 5 janv. 2019,Just watched the clip on Youtube of Tom Jones singing tonight on #TheVoiceUK . He can certainly still bang out a song.
1081688056799940610,14335144,digitalspy,Digital Spy,15:05 - 5 janv. 2019,Tom Jones had a very emotional moment on #TheVoiceUK tonight when his old collaborator's son auditioned.  https://buff.ly/2VtX4h4 
1081674727926714370,4795732096,thevoiceuk,The Voice UK,14:12 - 5 janv. 2019,#TheVoiceUK is back with all the feels 
1081673028969394176,232633960,TopRockNews,TopRockNews,14:05 - 5 janv. 2019,"Wilson Fisk tries to save #DAREDEVIL https://www.savedaredevil.com  | The charismatic actor @vincentdonofrio, takes the initiative to save the series. #Daredevil #Netflix #SaveDaredevil Texans Colts #FandomWithoutFear #TheVoiceUK "
1081672078481342464,119898641,peter_donegan,Peter Donegan,14:01 - 5 janv. 2019,"So proud to perform my dad's song with @RealSirTomJones, a very emotional moment for me and I'm sure dad would have been proud. #TheVoiceUK "
1081670510755368960,884094093005131776,jalmagor,Jess,13:55 - 5 janv. 2019,Maybe now people won't make comments next time they find out an understudy is performing?  @NicoleRaquel_D #TheVoiceUK 
1081669866711584769,119898641,peter_donegan,Peter Donegan,13:52 - 5 janv. 2019,Had a great time on @thevoiceuk . Thanks so much @RealSirTomJones proud to be #teamtom #thevoiceuk #thevoiceuk2019
1081669235540140034,1081556369218695168,MaryAliceMcM1,MaryAliceMcM1,13:50 - 5 janv. 2019,This girl is amazing! The duet with @IAMJHUD was flawless! #TheVoiceUK 
1081669024499548160,375964753,WillmerGA,Razor5694,13:49 - 5 janv. 2019,#Texans  #TheVoiceUK #thegreatestdancer #RıdvanEşinileAydınVakti #XboxGamePass #TransferYoksaİstifa #TwitarttirrAçıldı #Hilton #Seahawks #Huesca Viva La Command And Conquer ---------------------->
