id_tweet;content;sum_rt_reply_like;mark
9,49062E+17;feeling good about the brand new series of were flying high person this sat night 8pm with person person ;3;nan
9,4905E+17;the voice uk 2018 coaches perform feeling good via person this saturday at 8pm ;1;nan
9,49031E+17;oh no person and person are no longer friends. olly opens up about their friendship ending after he left the to join  ;3;nan
9,48908E+17;omg i canr wait for saturday the voice olly team murs team olly aghhhhh im cryinf person ;1;nan
9,4889E+17;we cant wait for this! brand new: the voice uk with person person person  person . starts saturday at 8pm on tv3. ;4;nan
9,48875E+17;can person walk away victorious from thevoice once again? she joins us with all the gossip from the new series very soon! ;12;nan
9,49011E+17;wait  person auditioning for ;1;nan
9,48956E+17;and jennifer hudson wouldnt have to buy person a new rope will young would keep his clothes on it would be all about the contestants if he was in the but will is so kind hearted if jennifer liked his unisex foot wear then l reckon will would buy it for her ;2;nan
9,48945E+17;emma willis parades figure in plunging jumpsuit for the voice red carpet launch  as always is the only great thing about shes so beautiful looks like a lovely lady l also love the person that is it ;0;nan
9,48849E+17;theres two days to go til the first episode of so heres an extraspecial gift from our person and person to get you in the mood  ;11;nan
9,48836E+17;we loved catching up with the amazing judges including new recruit person  ;1;nan
9,48746E+17;i ask myself why thevoice is still running? what happend to any of the winners releasing a single from past years ;3;nan
9,49378E+17;im 46 years old and totally not ashamed to admit to having a huge crush on person ;4;nan
9,49378E+17;cant wait for person how amazing was that preview?! saturday 8:00pm person ;9;nan
9,49373E+17;we cant wait for this! brand new: the voice uk with person person person  person . starts saturday at 8pm on tv3. ;8;nan
9,4933E+17;ever wonder what our coaches get up to between acts? take a trip into studio and watch this exclusive performance of sex bomb by the one and only person  pic.twitter.com4wbxrrsvfy ;6;nan
9,49319E+17;person person person person thevoice ;8;nan
9,4931E+17;a little bird told us that person is a right flirt on this year  but what does person reckon? ;14;nan
9,49305E+17;you gotta bring your agame to make person heart skip a beat and push that button. starts tomorrow 8pm person thevoice ;7;nan
9,49286E+17;we spoke to person who has been pranking person on the set of ! watch to find out what they have been up to. ;12;nan
9,49282E+17;interview: person on the brand new series of  ;4;nan
9,49271E+17;ollyofficial is a cheeky one  person gave us the lowdown on the new thevoice including his fellow coaches!  ;10;nan
9,49267E+17;preview! the voice uk is back tomorrow and the coaches are feeling good! person person person person ;9;nan
9,49254E+17;who will the judges turn for?...only one sleep to go before we find out! person person person person ;7;nan
9,49249E+17;thevoiceuk is back tomorrow and person has joined the coaching panel! but how did he feel on his first day?  ;5;nan
9,49242E+17;did you see my mug in the advert? thevoice starts sat 6th january 8pm on person i might be a little bit excited ;10;nan
9,49241E+17;the voice uk presenter person says new judge person is like a hyperactive puppy when he is on set! ;9;nan
9,49388E+17;im so looking forward to seeing person on gonna absolutely smash it ;1;nan
9,49379E+17;my little girl cant wait to see person on shes a big fan and is only 4. ;1;nan
9,49378E+17;omg!! did anyone see the new advert for on person i love tom jones and seeing him sing made my night ;1;nan
9,49378E+17;funny person acting like hes a huge star more than sir tom jones is....thevoiceuk advert ....what a moby ;1;nan
9,49378E+17;you know how to make a entrance olly person ;1;nan
9,49378E+17;just seen the advert  i love person !! will definitely be watching this year!thevoiceuk ;5;nan
9,49377E+17;tune in to person now for a very special presentation that will leave you feeling good... ;3;nan
9,49342E+17;wow shes brilliant who is this person person person know anybody who would promote this talented person person .. person ;4;nan
9,49204E+17;not long to wait now. and a ton of incredible talent will be back on your tellies tomorrow! saturday 8pm on person and person ;13;nan
9,49196E+17;think ill actually watch this series of thevoice looks like going to be a good series from the clips of that lad shows on person with person this morning ;1;nan
9,49097E+17;olly murs says the voice is better than the x factor via person judges are forgetting something  is obviously better these two shows have made many contestants famous for years including ;2;nan
9,49086E+17;katie price signing up to the voice to prove her haters wrong  says she doesnt know if will be back next year.....on person ;0;nan
9,49078E+17;thevoice person person person abscbn  person ;0;nan
9,49068E+17;https:www.dailystar.co.ukshowbiztvhottv671515thevoiceuk2018blindauditionsjessiejpalomafaithwilliamslammed  person talks to much to talk about jessie j boygeorge and paloma faith and gavinrossdale like that is disgusting l thought fellow stars working together had respect for each other will maybe the feeling is mutual they feel same about you ;1;nan
9,49761E+17;check out this young man what a star person ;15;nan
9,49759E+17;look at what god did this is the beginning of a journey i want to take with all of you guys i want to represent united kingdom and zimbabwe to the world person thevoice ;6;nan
9,49758E+17;smashed it bro person ;14;nan
9,49757E+17;that was a lot of fun hope you all enjoyed the return of thevoice who will join next week?  ;13;nan
9,49757E+17;and like that person is back where he belongs;;nan
9,49755E+17;i want person grandmother on ;10;nan
9,49775E+17;what is your favourite singing contest? thevoice person person person person person person person person person person retweet  vote ;3;nan
9,49769E+17;who is your favourite judge on thevoice person person person person retweet  vote ;4;nan
9,49767E+17;thevoiceuk was as good as ever tonight! i do think person is the perfect fourth coach they all gel so well ;2;nan
9,49762E+17;the ones that have stood out for me tonight on the opening blindaudition episode of thevoice have been : person person person and person thevoice ;4;nan
9,49756E+17;thevoiceuk brilliant series amazing voices! ollys got some great person person  ;3;nan
9,49753E+17;omg jennifer and tom duet. i got shivers and tears what an incredible pair of pipes thevoice ;16;nan
